Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
30,69,42,51,22,6,2,6,434,Moderate
24,44,8,12,23,3,1,12,602,Good
25,40,58,68,26,4,1,16,397,Good
27,83,53,69,18,15,2,8,668,Moderate
26,52,1,5,11,7,1,10,555,Good
33,53,54,63,26,10,1,12,329,Moderate
32,100,6,21,44,14,2,8,558,Poor
32,61,49,65,41,14,3,3,875,Hazardous
39,67,10,21,34,5,2,7,679,Poor
22,43,1,9,15,7,1,12,216,Good
27,46,15,19,20,7,1,11,496,Good
30,91,32,38,24,11,1,6,363,Moderate
33,59,30,52,34,22,2,3,476,Poor
30,76,31,49,51,9,3,3,788,Hazardous
23,44,21,25,24,5,1,10,284,Good
25,72,2,12,21,10,1,7,506,Moderate
22,73,12,12,26,7,1,26,224,Good
30,51,3,14,24,10,1,9,321,Moderate
23,68,67,80,28,4,1,6,397,Moderate
42,81,33,44,34,11,2,4,682,Poor
37,106,23,45,31,10,3,4,563,Poor
37,110,0,16,40,13,2,6,690,Poor
29,77,62,76,28,8,2,6,591,Moderate
30,72,9,10,20,6,1,11,409,Good
30,84,12,24,22,8,2,5,424,Moderate
23,52,11,16,16,10,1,11,489,Good
36,70,6,17,34,12,2,7,447,Poor
31,42,7,12,17,6,1,11,486,Good
35,86,0,12,31,12,2,7,318,Moderate
21,60,34,38,20,1,1,10,207,Good
22,41,26,32,26,7,1,11,452,Good
27,76,17,24,21,2,1,11,390,Good
36,112,36,67,43,8,2,8,813,Hazardous
25,43,12,20,25,6,1,14,455,Good
36,64,16,27,23,10,2,8,574,Moderate
35,79,4,16,34,16,2,5,695,Poor
40,66,12,21,43,16,2,6,824,Poor
23,90,20,35,27,11,1,6,632,Moderate
33,93,13,24,24,1,2,6,598,Moderate
33,73,22,33,44,7,2,9,723,Poor
28,66,0,7,12,6,1,14,337,Good
29,76,2,7,20,5,1,18,404,Good
26,60,2,6,32,14,1,6,388,Moderate
42,78,10,31,38,17,2,12,484,Hazardous
33,63,12,18,25,12,2,5,467,Moderate
30,86,6,15,34,4,1,11,405,Moderate
32,89,5,14,29,12,2,8,604,Moderate
34,79,166,191,45,9,2,5,846,Hazardous
43,116,10,32,37,15,2,4,755,Hazardous
36,86,76,87,20,12,2,9,612,Moderate
26,53,11,12,29,15,2,7,397,Moderate
26,54,2,6,17,3,1,18,327,Good
19,65,2,10,26,6,1,10,368,Good
34,73,2,16,34,5,1,6,526,Moderate
23,89,56,61,31,13,1,6,351,Moderate
28,79,14,40,38,11,2,4,608,Poor
20,43,4,9,24,2,1,10,390,Good
31,54,16,23,23,4,2,9,492,Moderate
32,54,2,11,30,13,2,5,395,Moderate
48,69,42,51,38,22,3,6,651,Poor
28,82,1,9,26,20,1,5,317,Moderate
25,52,4,18,27,15,1,9,356,Moderate
36,108,16,32,26,15,2,4,686,Poor
31,54,8,15,16,5,1,15,531,Good
38,94,20,27,50,6,2,4,889,Hazardous
27,76,10,14,10,5,1,10,328,Good
29,79,66,82,26,17,2,5,575,Moderate
26,41,7,12,27,6,1,12,383,Good
25,64,25,27,16,2,1,16,407,Good
41,82,90,109,49,28,2,4,450,Poor
26,79,51,59,22,12,2,5,344,Moderate
36,75,5,10,34,0,2,6,336,Moderate
24,76,1,6,26,4,1,10,306,Good
27,49,20,24,32,5,1,5,538,Moderate
28,76,165,169,23,15,2,6,346,Moderate
32,106,0,16,38,12,1,6,421,Poor
22,43,1,5,20,8,1,11,451,Good
29,56,24,42,30,5,2,12,375,Moderate
35,86,18,29,37,10,1,6,414,Moderate
30,62,13,19,20,5,1,11,495,Good
26,86,28,54,57,10,2,5,603,Hazardous
34,59,12,29,50,17,2,3,678,Hazardous
24,59,9,16,26,7,1,10,576,Good
23,55,21,25,14,4,1,16,429,Good
26,87,24,32,29,3,2,6,582,Moderate
25,71,21,42,27,18,2,3,528,Poor
42,83,40,50,37,16,1,4,766,Poor
28,83,12,20,29,14,1,5,430,Moderate
40,78,22,41,32,30,2,6,790,Poor
24,66,3,9,21,6,1,13,467,Good
20,63,22,24,16,4,1,17,191,Good
21,48,2,6,16,6,1,10,296,Good
28,44,9,17,25,1,1,10,208,Good
22,43,5,9,16,3,1,11,377,Good
31,74,34,47,31,23,2,5,681,Poor
26,74,13,18,21,1,1,13,365,Good
31,60,56,69,23,10,1,7,426,Moderate
28,75,6,14,17,13,1,6,539,Moderate
32,81,11,18,26,3,1,7,670,Moderate
26,66,2,5,20,6,1,10,399,Good
24,60,0,7,17,6,1,10,384,Good
26,68,43,52,22,7,1,6,415,Moderate
24,45,21,26,13,4,1,13,346,Good
32,80,6,8,24,17,2,10,679,Moderate
33,91,43,57,22,13,2,8,497,Poor
27,74,17,22,16,8,1,12,572,Good
35,82,4,13,45,4,2,4,703,Poor
33,61,28,39,26,10,2,5,448,Poor
23,50,19,23,19,6,1,12,225,Good
31,94,69,73,24,14,2,7,347,Moderate
24,65,26,34,22,1,1,13,499,Good
39,72,49,68,36,29,2,3,860,Hazardous
50,79,70,83,50,21,2,5,617,Poor
23,60,2,8,19,6,1,13,340,Good
27,54,20,28,30,5,1,8,313,Moderate
29,77,23,25,12,8,1,11,577,Good
31,71,4,10,20,8,1,11,212,Good
33,74,19,40,21,12,2,4,590,Poor
22,57,6,10,24,4,1,11,595,Good
27,53,7,14,22,5,1,11,577,Good
27,64,3,11,27,4,1,11,550,Good
23,53,8,15,26,4,1,11,517,Good
31,71,26,34,19,3,1,11,512,Good
20,40,4,14,20,5,1,12,475,Good
26,81,10,16,14,3,1,12,328,Good
25,73,29,35,12,6,1,10,371,Good
33,60,33,41,25,11,2,7,406,Moderate
27,42,13,19,19,6,1,12,550,Good
34,71,30,53,38,17,2,4,744,Poor
40,70,36,45,22,10,1,6,398,Moderate
36,75,48,64,44,29,3,3,587,Hazardous
27,80,32,51,48,5,2,7,447,Poor
27,85,5,12,26,19,2,5,421,Poor
39,111,26,47,46,25,2,4,692,Hazardous
38,97,60,80,40,24,2,5,863,Hazardous
26,79,6,18,35,12,2,5,555,Moderate
23,40,2,9,20,6,1,11,255,Good
34,49,19,27,17,4,1,11,267,Good
27,68,25,29,13,4,1,15,559,Good
42,90,27,51,46,18,2,5,531,Hazardous
30,79,25,30,26,7,1,7,323,Moderate
26,76,16,33,32,11,2,5,548,Poor
33,72,48,60,31,7,2,5,388,Moderate
17,53,0,7,20,7,1,11,229,Good
22,60,4,6,15,7,1,12,365,Good
30,54,25,38,31,14,2,7,359,Moderate
31,48,14,19,16,2,1,12,386,Good
29,78,35,36,37,18,2,7,571,Poor
29,43,2,8,19,4,1,13,228,Good
33,66,14,26,19,13,1,8,460,Moderate
29,53,5,22,26,19,1,7,449,Moderate
34,62,130,137,34,7,2,4,442,Poor
29,67,11,15,19,8,1,10,481,Good
35,65,26,37,19,6,2,6,576,Moderate
28,48,1,15,32,1,2,7,449,Moderate
24,75,5,12,10,6,1,11,454,Good
31,100,11,36,39,36,2,3,754,Hazardous
30,79,18,31,26,8,1,6,608,Moderate
27,67,8,17,25,7,1,12,547,Good
29,83,20,29,36,12,2,7,674,Moderate
26,63,12,17,10,7,1,16,413,Good
29,50,0,2,20,8,1,11,485,Good
43,104,52,81,23,13,2,4,680,Poor
44,101,3,10,30,24,2,4,408,Poor
21,94,6,19,38,14,2,4,669,Poor
31,85,36,42,18,11,1,6,509,Moderate
23,49,0,9,20,4,1,12,496,Good
38,95,67,92,46,16,3,4,654,Hazardous
30,46,1,4,27,4,1,12,300,Good
40,73,11,30,31,25,2,4,380,Poor
41,86,3,21,40,8,2,4,689,Poor
29,42,1,5,19,3,1,13,337,Good
27,54,7,22,25,8,2,6,295,Moderate
30,69,18,26,29,10,2,5,674,Moderate
30,70,6,21,28,19,2,4,694,Poor
40,83,5,26,45,14,2,5,927,Hazardous
32,78,12,18,32,9,2,4,590,Poor
30,67,5,12,20,4,1,11,379,Good
32,67,23,35,30,18,3,9,441,Poor
29,64,14,25,16,11,1,6,478,Moderate
26,51,1,4,28,10,1,11,281,Good
37,100,20,34,33,16,2,4,745,Poor
32,84,4,13,20,13,1,7,401,Moderate
23,50,7,14,12,8,1,14,589,Good
32,74,1,24,38,24,2,5,533,Poor
52,74,15,24,30,19,2,4,515,Poor
36,82,40,58,25,14,2,8,614,Poor
32,70,4,10,25,19,3,4,735,Poor
36,58,19,34,35,10,2,5,424,Moderate
23,55,4,12,24,3,1,10,433,Good
25,80,9,14,12,5,1,11,277,Good
31,75,38,47,33,11,2,6,451,Poor
27,43,12,15,15,3,1,11,284,Good
26,64,2,7,20,6,1,14,369,Good
51,70,2,4,40,20,3,4,684,Hazardous
34,71,36,59,36,15,2,4,619,Poor
35,80,9,29,32,7,1,10,326,Moderate
35,72,22,38,31,16,2,4,754,Poor
27,78,5,22,34,16,2,6,468,Moderate
27,42,5,12,20,4,1,13,276,Good
33,72,4,16,25,7,2,6,662,Poor
41,94,11,27,53,23,3,5,688,Hazardous
16,64,13,19,24,2,1,12,487,Good
31,74,6,10,32,2,2,7,653,Moderate
35,80,12,24,30,14,2,4,617,Poor
31,86,39,53,17,10,2,6,571,Moderate
26,87,85,96,25,4,1,5,481,Moderate
25,74,41,46,20,10,1,6,459,Moderate
38,84,20,31,28,14,2,7,443,Poor
31,89,7,31,37,7,2,4,660,Poor
46,68,51,64,37,9,2,4,467,Poor
23,86,3,21,22,15,2,7,601,Moderate
39,78,5,26,44,15,2,4,610,Poor
33,64,33,55,33,20,1,5,655,Poor
50,92,27,51,32,29,2,5,849,Hazardous
31,84,34,50,28,16,1,5,416,Moderate
27,66,2,4,28,12,2,7,395,Moderate
41,92,80,104,46,12,2,7,744,Poor
26,45,5,12,27,7,1,19,546,Good
33,47,16,23,26,5,1,10,655,Moderate
18,75,4,8,19,2,1,13,593,Good
32,55,50,69,32,6,2,4,529,Poor
40,94,20,49,51,22,2,4,601,Hazardous
40,70,10,30,48,37,3,3,896,Hazardous
25,74,6,19,32,13,1,6,419,Moderate
19,63,6,8,14,5,1,10,410,Good
28,74,4,15,25,11,1,7,577,Moderate
34,102,39,58,40,13,2,3,811,Hazardous
28,57,7,18,27,6,2,6,371,Moderate
27,53,27,32,16,2,1,12,318,Good
38,110,0,12,42,16,2,6,709,Poor
28,79,17,24,26,5,1,10,359,Good
22,41,15,20,13,5,1,15,217,Good
23,57,16,23,21,8,1,10,336,Good
22,45,14,15,26,1,1,11,262,Good
23,68,15,26,26,3,1,5,321,Moderate
22,69,9,12,19,4,1,13,245,Good
26,62,5,9,20,9,1,15,381,Good
24,63,9,17,17,4,1,14,494,Good
25,63,14,18,29,8,2,6,510,Moderate
25,80,4,11,24,9,1,14,373,Good
26,64,2,4,25,5,1,13,459,Good
28,42,2,5,14,4,1,11,527,Good
28,61,1,11,23,7,2,9,501,Moderate
38,83,109,120,43,11,2,6,614,Poor
31,73,73,89,54,17,3,3,755,Hazardous
30,51,1,8,17,5,1,12,576,Good
43,107,82,97,51,16,3,3,719,Hazardous
32,88,38,57,48,21,2,3,769,Hazardous
24,43,5,10,16,2,1,11,441,Good
28,63,0,8,17,5,1,12,528,Good
31,62,1,9,20,15,1,9,599,Moderate
33,57,6,20,31,6,2,8,316,Moderate
43,78,37,52,45,16,2,2,799,Hazardous
36,90,33,48,26,0,2,4,490,Poor
33,58,17,33,28,9,1,5,642,Moderate
34,94,26,49,26,10,1,9,457,Poor
23,40,23,28,20,10,1,10,314,Good
24,52,0,4,19,6,1,11,313,Good
42,78,36,44,52,22,2,6,846,Hazardous
36,80,37,44,38,15,2,4,538,Hazardous
32,89,4,17,22,16,1,5,325,Moderate
24,79,9,11,22,6,1,12,544,Good
27,96,163,173,32,22,2,4,590,Poor
27,74,1,3,14,4,1,10,488,Good
35,70,27,32,27,11,2,9,635,Moderate
26,68,13,19,13,7,1,11,310,Good
22,66,11,15,27,14,1,6,497,Moderate
37,45,2,6,29,18,2,9,502,Poor
31,81,12,15,32,12,1,6,447,Moderate
22,56,27,34,19,5,1,17,492,Good
35,82,74,91,34,7,3,6,659,Poor
31,72,20,29,22,4,1,14,306,Good
32,72,19,25,14,4,1,23,369,Good
28,70,47,54,29,12,2,8,604,Moderate
56,88,34,53,29,18,3,3,834,Hazardous
29,69,19,34,19,11,1,10,589,Moderate
18,43,5,10,16,2,1,14,571,Good
28,51,6,13,33,6,1,5,386,Moderate
27,49,9,13,15,0,1,12,337,Good
29,55,20,24,17,3,1,12,347,Good
30,58,2,14,30,6,2,8,524,Moderate
21,89,48,58,29,12,2,5,412,Moderate
24,62,7,14,18,4,1,11,196,Good
27,56,2,5,23,4,1,10,322,Good
37,93,47,54,30,20,2,5,624,Poor
29,73,26,30,9,4,1,11,350,Good
32,71,20,29,29,10,1,6,689,Moderate
23,51,6,9,14,8,1,11,287,Good
21,62,7,11,21,3,1,13,295,Good
40,108,30,39,32,22,2,3,572,Hazardous
31,92,14,31,22,14,2,6,574,Moderate
38,67,58,71,21,12,2,4,824,Poor
27,78,5,10,21,6,1,15,294,Good
35,88,45,46,36,12,2,4,473,Poor
35,70,29,47,36,14,2,4,805,Poor
32,68,10,15,29,2,2,7,454,Moderate
49,82,90,114,49,22,2,3,654,Hazardous
46,79,117,130,40,25,3,3,577,Hazardous
24,73,1,5,14,4,1,13,300,Good
29,58,9,14,15,5,1,11,582,Good
35,62,31,38,45,27,2,6,436,Poor
21,65,10,13,26,2,1,12,295,Good
29,54,5,17,38,18,2,7,543,Moderate
30,70,4,14,26,10,2,12,668,Moderate
25,43,23,29,24,4,1,16,392,Good
23,44,4,11,16,9,1,10,289,Good
23,71,23,39,30,12,1,16,404,Moderate
30,88,66,71,25,14,1,6,512,Moderate
35,92,7,29,25,18,2,7,718,Poor
31,76,3,9,30,11,1,5,697,Moderate
32,68,33,46,23,1,2,5,446,Moderate
36,100,20,34,38,18,2,7,599,Poor
37,68,4,21,40,20,2,5,681,Poor
22,68,32,37,26,2,1,12,211,Good
25,47,26,32,11,10,1,18,266,Good
33,60,12,16,24,6,1,6,463,Moderate
25,81,12,22,34,8,1,14,625,Moderate
28,62,9,16,18,4,1,10,235,Good
27,51,18,25,21,3,1,12,346,Good
38,96,6,28,33,21,2,9,802,Poor
27,77,27,33,24,2,1,10,501,Good
24,80,36,48,26,11,2,9,441,Moderate
30,112,41,55,38,25,3,5,662,Hazardous
26,86,48,60,20,9,2,7,286,Moderate
27,75,3,11,26,4,1,10,271,Good
37,78,15,22,28,6,1,6,642,Moderate
27,62,13,21,20,8,1,11,577,Good
37,113,143,167,42,12,2,3,644,Hazardous
37,105,124,136,42,26,3,3,849,Hazardous
20,75,1,5,23,4,1,10,388,Good
27,66,6,10,13,5,1,13,299,Good
34,68,24,30,26,8,1,5,599,Moderate
25,56,18,23,19,3,1,10,365,Good
22,76,21,26,21,3,1,10,506,Good
25,77,6,11,24,5,1,11,573,Good
26,45,9,15,13,0,1,11,224,Good
22,54,7,20,19,6,2,10,457,Moderate
40,110,85,99,30,19,3,3,792,Hazardous
28,66,11,22,28,12,2,6,524,Moderate
33,78,5,25,26,21,2,6,540,Poor
32,65,16,19,30,28,2,8,771,Poor
25,75,1,3,23,7,1,17,325,Good
43,85,153,178,39,28,3,3,627,Hazardous
23,71,24,36,24,8,1,8,450,Moderate
26,78,6,12,13,5,1,16,585,Good
32,81,4,15,46,21,2,3,705,Hazardous
32,62,0,5,20,5,1,10,201,Good
31,78,12,15,27,4,1,10,410,Good
23,72,40,46,15,4,1,15,270,Good
18,45,21,26,14,5,1,12,492,Good
47,104,1,3,34,6,2,3,844,Hazardous
24,73,16,21,22,10,2,6,386,Moderate
24,61,10,14,13,2,1,11,208,Good
40,86,68,89,21,22,2,4,616,Poor
47,65,2,22,41,17,2,3,779,Hazardous
34,83,19,39,45,21,2,10,496,Poor
23,64,3,9,17,0,1,11,593,Good
38,67,15,36,39,14,2,4,497,Poor
29,65,17,28,12,6,1,11,562,Good
35,76,20,28,20,11,2,7,430,Moderate
31,74,4,11,30,2,2,9,618,Moderate
17,44,11,18,25,2,1,10,515,Good
26,61,9,17,23,6,1,10,421,Good
26,60,6,12,12,8,1,12,582,Good
40,85,34,52,29,16,2,8,559,Poor
35,72,10,19,29,11,1,5,443,Moderate
28,72,41,52,16,6,1,10,338,Good
23,75,3,15,21,2,1,6,449,Moderate
22,49,11,14,25,7,1,12,448,Good
20,60,10,18,23,1,1,11,238,Good
30,63,26,27,16,5,1,12,471,Good
26,80,3,8,15,9,1,11,347,Good
27,56,53,60,27,8,1,12,428,Moderate
34,86,49,58,59,10,3,4,909,Hazardous
29,89,13,34,36,13,2,4,706,Poor
28,88,3,11,27,8,2,5,538,Moderate
41,60,46,59,39,20,1,7,418,Poor
34,49,18,28,29,5,2,6,304,Moderate
32,88,1,5,23,9,2,8,343,Moderate
27,80,4,8,28,5,1,11,285,Good
23,62,19,26,29,5,1,8,536,Moderate
22,69,9,15,17,4,1,11,373,Good
21,60,2,11,22,2,1,15,478,Good
32,77,6,19,17,13,2,8,454,Moderate
24,60,5,11,26,8,1,17,205,Good
26,78,3,9,20,6,1,13,343,Good
21,70,12,17,25,0,1,11,486,Good
31,69,8,21,18,8,1,6,635,Moderate
20,59,0,4,23,4,1,11,219,Good
30,78,58,60,26,12,1,9,578,Moderate
20,48,1,7,19,7,1,11,305,Good
30,42,5,9,22,2,1,10,210,Good
25,44,0,5,12,5,1,13,471,Good
39,92,140,155,50,18,3,6,566,Hazardous
25,70,0,6,12,7,1,12,240,Good
29,66,1,5,24,4,1,11,534,Good
22,71,5,10,17,4,1,10,208,Good
23,47,2,9,22,5,1,11,433,Good
35,51,0,16,36,12,2,5,694,Moderate
36,71,30,49,35,10,2,4,671,Poor
24,63,4,8,22,0,1,10,555,Good
32,80,86,90,23,10,1,6,647,Moderate
35,57,1,5,25,16,1,5,441,Moderate
19,57,37,46,37,24,2,5,528,Moderate
24,42,10,15,26,4,1,11,310,Good
44,90,21,47,42,14,2,5,594,Hazardous
22,75,10,16,13,4,1,13,285,Good
18,77,20,24,23,5,1,12,487,Good
31,50,0,6,20,4,1,11,237,Good
34,59,62,82,42,22,2,7,503,Poor
25,56,4,10,22,9,1,14,266,Good
24,55,2,9,15,6,1,12,325,Good
30,62,0,16,19,8,2,5,529,Moderate
32,49,15,36,29,27,2,4,697,Poor
34,68,42,48,34,9,1,6,652,Moderate
31,46,12,31,30,19,1,8,484,Moderate
33,76,3,8,24,4,2,8,388,Moderate
33,102,27,41,27,16,2,5,394,Poor
31,53,6,14,36,9,2,8,671,Moderate
35,85,18,25,25,6,2,5,425,Moderate
27,72,17,37,27,5,2,5,479,Poor
23,44,2,8,24,6,1,10,317,Good
40,87,11,18,19,15,1,9,476,Moderate
27,47,9,14,14,4,1,11,344,Good
39,105,1,14,39,16,3,4,634,Hazardous
34,90,96,110,35,10,2,5,566,Poor
41,80,28,44,52,19,2,4,530,Hazardous
34,92,18,41,25,16,2,4,407,Poor
30,73,59,70,24,26,2,7,465,Poor
29,65,14,29,28,13,2,5,722,Poor
22,42,13,17,18,7,1,11,239,Good
24,54,2,5,28,5,1,11,431,Good
28,84,1,12,26,13,2,7,668,Moderate
30,68,16,21,43,15,2,10,502,Poor
28,63,18,24,22,18,2,6,495,Moderate
23,48,32,36,23,1,1,11,321,Good
21,54,49,59,31,10,2,7,660,Moderate
25,44,0,7,23,4,1,10,451,Good
30,55,7,15,14,7,1,12,315,Good
45,83,17,27,46,10,3,4,592,Hazardous
26,52,9,14,22,5,1,10,449,Good
29,44,11,19,19,6,1,13,304,Good
32,92,5,7,25,17,2,4,828,Poor
37,85,8,24,36,21,2,6,745,Poor
32,62,20,34,34,26,2,8,512,Hazardous
24,77,0,10,21,2,1,11,539,Good
22,40,3,7,24,4,1,13,549,Good
31,60,2,6,22,15,2,4,732,Poor
28,83,18,26,29,7,1,6,563,Moderate
36,87,5,16,45,23,2,5,809,Poor
26,66,8,15,19,5,1,10,393,Good
28,82,25,34,18,4,1,15,448,Good
30,76,15,18,21,5,1,12,445,Good
24,42,25,30,20,6,1,12,285,Good
22,54,18,24,20,3,1,12,567,Good
26,41,2,0,20,4,1,15,293,Good
32,72,11,24,24,17,2,8,560,Moderate
23,49,11,16,21,9,1,14,516,Good
18,69,6,9,21,6,1,16,266,Good
24,71,5,13,36,5,1,12,345,Moderate
22,62,6,11,24,3,1,10,265,Good
34,92,13,42,38,5,2,4,633,Hazardous
36,78,3,4,19,11,1,5,620,Moderate
30,49,3,6,22,2,1,12,277,Good
26,62,6,8,25,6,1,12,379,Good
29,89,3,11,24,0,2,12,590,Moderate
39,97,50,61,48,30,3,3,755,Hazardous
35,65,106,125,28,16,2,7,762,Poor
38,84,15,21,27,20,2,4,688,Poor
23,86,9,25,35,12,2,4,559,Poor
29,47,2,7,18,7,1,10,579,Good
25,80,3,8,16,3,1,11,489,Good
26,71,9,12,20,4,1,13,516,Good
24,62,1,10,32,15,1,8,614,Moderate
34,79,2,15,34,9,2,4,681,Poor
21,71,30,35,22,3,1,11,372,Good
35,109,50,72,48,19,3,5,712,Hazardous
28,74,3,10,16,3,1,13,419,Good
44,88,14,22,37,18,3,4,471,Hazardous
38,79,4,17,35,13,2,7,451,Poor
41,85,13,48,33,26,2,4,783,Hazardous
30,92,15,30,26,6,2,6,657,Moderate
32,82,11,16,26,4,1,7,601,Moderate
21,58,13,18,21,6,1,18,233,Good
34,69,30,42,21,22,2,4,430,Poor
33,86,8,17,31,15,1,6,683,Moderate
26,44,17,20,12,4,1,12,397,Good
34,63,10,20,27,11,2,6,322,Moderate
24,80,5,12,16,5,1,19,528,Good
30,54,9,12,14,5,1,11,438,Good
30,99,22,30,35,13,2,4,625,Poor
27,58,4,11,23,6,1,11,481,Good
24,51,25,31,25,7,1,12,506,Good
20,55,10,17,15,7,1,13,283,Good
20,47,2,4,24,6,1,11,551,Good
29,92,11,18,22,17,2,6,628,Moderate
31,84,44,62,20,9,2,7,621,Moderate
40,82,2,18,38,17,2,4,444,Poor
28,90,12,21,33,11,1,6,533,Moderate
22,75,3,9,15,4,1,15,424,Good
30,44,0,5,16,3,1,10,516,Good
33,56,12,16,14,5,1,12,286,Good
28,87,37,48,23,10,1,5,550,Moderate
24,71,11,18,23,4,1,6,475,Moderate
25,64,2,7,17,3,1,10,508,Good
25,70,8,12,17,4,1,11,243,Good
26,67,61,74,34,4,2,5,508,Moderate
24,67,3,11,22,0,1,11,230,Good
44,73,66,86,33,0,2,3,565,Hazardous
34,69,19,42,56,9,2,4,663,Hazardous
32,68,11,21,25,12,1,3,637,Poor
34,73,60,72,31,20,2,8,610,Poor
40,108,31,56,42,20,2,7,767,Hazardous
28,75,0,5,15,2,1,10,256,Good
25,59,8,12,15,5,1,17,255,Good
34,52,55,63,36,1,2,6,403,Poor
22,70,16,20,24,6,1,13,310,Good
29,94,21,30,31,7,2,4,713,Poor
36,86,20,33,33,12,2,4,623,Poor
35,73,13,20,23,16,2,8,679,Moderate
39,76,26,49,33,4,2,4,612,Poor
31,71,24,40,24,13,1,11,393,Moderate
34,68,5,10,47,13,2,4,725,Poor
17,39,4,8,20,5,1,16,264,Good
13,66,4,7,25,1,1,12,322,Good
25,54,0,4,15,6,1,12,380,Good
27,64,8,15,24,4,1,15,544,Good
28,54,9,15,26,3,1,12,525,Good
26,62,26,33,20,8,1,10,259,Good
26,64,14,25,21,15,2,7,324,Moderate
30,53,15,21,22,6,1,11,509,Good
28,80,19,32,25,11,1,5,373,Moderate
22,69,7,13,21,6,1,10,593,Good
31,47,16,20,16,5,1,12,329,Good
32,67,10,22,31,2,1,5,513,Moderate
42,71,19,35,28,21,2,4,651,Poor
24,51,9,13,14,7,1,12,245,Good
23,59,11,19,26,15,1,11,337,Moderate
31,47,4,14,14,2,1,10,218,Good
21,70,10,17,14,10,1,13,509,Good
29,79,42,56,32,17,2,6,542,Poor
36,72,42,53,30,13,2,4,485,Poor
27,71,0,6,15,6,1,11,454,Good
24,70,15,18,22,6,1,12,482,Good
24,62,8,12,25,7,2,9,393,Moderate
22,56,30,36,26,2,1,11,298,Good
25,54,23,28,30,15,1,7,638,Moderate
41,82,53,76,39,15,2,6,755,Poor
21,81,0,5,22,5,1,8,647,Moderate
38,65,82,97,36,26,2,4,611,Poor
27,62,24,29,46,14,2,4,806,Poor
27,93,32,52,35,10,1,6,526,Moderate
31,64,34,43,14,14,2,5,350,Moderate
40,53,1,12,34,5,1,6,355,Moderate
36,70,2,14,37,21,2,5,495,Poor
22,51,31,40,18,4,2,6,294,Moderate
44,94,8,31,25,10,2,4,522,Poor
23,62,5,14,22,2,1,11,489,Good
38,77,8,31,56,17,3,3,674,Hazardous
31,78,11,28,26,14,3,4,651,Poor
32,74,17,35,44,11,2,5,374,Poor
29,73,1,3,15,5,1,13,522,Good
44,109,32,45,51,12,2,6,640,Hazardous
32,66,20,29,33,21,2,6,474,Poor
30,80,16,30,33,2,2,5,459,Moderate
27,76,61,84,31,20,2,5,592,Poor
30,67,32,33,24,13,1,5,670,Moderate
31,70,22,26,26,7,1,14,417,Good
30,77,71,80,32,12,1,7,550,Moderate
21,52,0,7,21,6,1,11,200,Good
42,86,2,9,34,22,2,7,538,Poor
30,85,71,92,31,7,2,5,373,Moderate
31,50,20,31,25,16,2,9,347,Moderate
27,36,9,17,22,2,1,11,407,Good
27,57,7,16,26,6,1,6,327,Moderate
37,73,37,65,48,21,2,4,514,Hazardous
42,79,45,65,30,21,2,3,523,Hazardous
44,62,55,66,33,13,2,4,614,Poor
27,58,5,17,29,8,1,5,349,Moderate
30,62,8,11,20,8,1,12,378,Good
35,76,3,6,33,6,2,8,335,Moderate
38,108,39,61,32,29,3,7,462,Hazardous
22,70,15,22,18,6,1,11,294,Good
39,83,57,69,40,8,2,4,543,Poor
29,80,16,23,18,8,1,10,512,Good
24,44,4,8,23,2,1,10,221,Good
28,86,24,35,28,8,1,8,497,Moderate
35,65,110,123,41,8,3,10,777,Poor
56,69,16,30,49,17,3,3,535,Hazardous
26,60,21,34,30,4,1,8,315,Moderate
33,90,35,50,31,7,2,6,358,Moderate
21,69,23,27,14,2,1,13,444,Good
30,76,9,21,38,17,2,4,726,Poor
28,73,28,40,24,1,1,6,563,Moderate
35,52,31,40,20,12,1,6,634,Moderate
31,93,29,48,44,11,2,10,592,Poor
34,73,6,12,21,5,1,10,188,Good
51,90,14,29,65,21,2,3,807,Hazardous
53,62,3,17,53,14,2,5,731,Hazardous
56,76,76,82,41,24,2,16,650,Hazardous
25,43,48,55,21,1,1,11,537,Good
25,57,3,8,23,2,1,10,361,Good
28,67,0,13,26,10,2,5,379,Moderate
27,68,16,19,23,7,1,12,546,Good
23,72,20,24,18,2,1,12,581,Good
22,80,2,6,13,3,1,12,278,Good
45,78,38,42,39,31,3,5,743,Hazardous
29,44,3,12,15,4,1,11,305,Good
30,81,12,28,26,17,2,7,716,Poor
27,82,15,20,19,6,1,12,242,Good
29,64,0,11,24,18,1,12,574,Moderate
36,83,28,28,32,13,2,9,601,Moderate
23,76,5,7,13,4,1,11,331,Good
37,102,21,36,38,25,3,4,508,Hazardous
26,43,5,8,19,5,1,10,418,Good
42,98,2,8,48,27,2,2,688,Hazardous
46,91,20,57,29,17,3,9,684,Hazardous
30,87,16,30,38,22,2,6,479,Poor
31,71,35,45,27,6,1,7,455,Moderate
22,45,15,18,15,0,1,10,487,Good
22,57,13,17,26,4,1,17,450,Good
31,66,6,14,26,11,1,6,380,Moderate
32,79,22,33,32,11,2,6,494,Moderate
24,56,25,32,18,6,1,11,329,Good
34,81,54,65,28,12,2,6,709,Poor
35,85,4,14,30,13,1,5,608,Moderate
25,49,0,6,17,4,1,12,239,Good
33,64,52,66,26,8,1,6,584,Moderate
20,66,34,40,30,12,1,6,629,Moderate
